Month,"Balanagar, CITD office","Uppal, Modern food Industry, IDA","Jubilee Hills, Police station","Paradise, HMWS &SB Pump house","Charminar, TSRTC bus station","Jeedimetla, Industrial Association building","Abids, Police station","KBRN Park, DFO office","Langar House, Police Station","Madhapur, Shilpa Kalavedika","MGBS, Bus stand","Chikkadapally, Lepakshi Emporium","Kukatpally, JNTU","Nacharam, Police station","Rajendranagar, NG Ranga Agricultural University","Sainikpuri, MRO office","Buddha Purnima Project office, Tank Bund","Shameerpet, MRO office"
Jan,126,126,104,114,125,148,90,55,95,89,92,79,127,121,51,73,101,82
Feb,119,115,103,96,117,129,97,58,96,92,86,74,104,91,47,68,77,53
Mar,136,101,84,91,110,117,102,58,106,106,99,113,85,97,52,85,82,65
Apr,80,52,67,51,81,78,57,56,55,73,85,40,56,52,36,80,41,95
May,86,71,71,62,65,95,63,58,89,89,93,52,64,50,44,74,46,62
Jun,67,59,57,64,60,68,54,40,49,43,75,42,58,48,31,45,37,54
Jul,74,70,71,69,68,69,51,22,47,38,72,41,56,50,28,42,33,70
Aug,94,79,76,89,76,86,49,40,75,37,69,61,76,60,41,48,55,76
Sep,88,90,83,90,75,86,49,41,59,56,63,62,80,59,39,46,51,83
Oct,98,91,83,91,99,102,60,47,68,75,65,74,87,69,61,45,61,85
Nov,135,124,84,90,96,121,94,64,82,78,69,80,92,97,61,63,75,84
Dec,157,138,105,111,119,145,103,68,99,107,96,83,109,97,73,79,94,89
