Month,"Balanagar, CITD office","Uppal, Modern food Industry, IDA","Jubilee Hills, Police station","Paradise, HMWS &SB Pump house","Charminar, TSRTC bus station","Jeedimetla, Industrial Association building","Abids, Police station","KBRN Park, DFO office","Langar House, Police Station","Madhapur, Shilpa Kalavedika","MGBS, Bus stand","Chikkadapally, Lepakshi Emporium","Kukatpally, JNTU","Nacharam, Police station","Rajendranagar, NG Ranga Agricultural University","Sainikpuri, MRO office","Buddha Purnima Project office, Tank Bund","Shameerpet, MRO office"
Jan,155,147,118,135,123,172,145,83,113,101,115,106,119,116,91,121,104,96
Feb,160,147,132,131,157,163,131,81,115,104,120,102,109,118,88,121,82,117
Mar,156,130,127,126,142,155,120,75,110,86,111,95,117,104,82,122,76,129
Apr,183,159,160,163,199,180,113,93,119,102,119,104,129,118,76,95,86,64
May,166,103,131,137,171,149,80,74,92,109,105,90,94,126,72,79,62,56
Jun,132,72,113,97,84,88,74,45,66,47,46,51,66,76,56,72,39,58
Jul,103,75,96,88,82,94,84,41,72,40,58,61,76,60,35,63,44,51
Aug,120,73,102,80,100,90,62,35,69,43,80,59,70,52,38,69,44,58
Sep,123,85,107,82,114,112,79,54,88,74,109,72,82,77,52,72,46,74
Oct,125,96,132,104,120,130,91,72,88,77,102,83,88,109,51,68,67,49
Nov,136,125,115,105,135,127,91,82,112,104,81,76,130,106,59,75,64,64
Dec,136,135,126,132,138,142,119,95,114,109,99,85,149,108,63,91,100,65
