,Month,Year,Location,AQI,Date
1079,Dec,2017,"Chikkadapally, Lepakshi Emporium",85,2017-12-01
1463,Dec,2017,"Sainikpuri, MRO office",91,2017-12-01
791,Dec,2017,"Langar House, Police Station",114,2017-12-01
23,Dec,2017,"Balanagar, CITD office",136,2017-12-01
119,Dec,2017,"Uppal, Modern food Industry, IDA",135,2017-12-01
1175,Dec,2017,"Kukatpally, JNTU",149,2017-12-01
1271,Dec,2017,"Nacharam, Police station",108,2017-12-01
695,Dec,2017,"KBRN Park, DFO office",95,2017-12-01
1655,Dec,2017,"Shameerpet, MRO office",65,2017-12-01
887,Dec,2017,"Madhapur, Shilpa Kalavedika",109,2017-12-01
407,Dec,2017,"Charminar, TSRTC bus station",138,2017-12-01
311,Dec,2017,"Paradise, HMWS &SB Pump house",132,2017-12-01
215,Dec,2017,"Jubilee Hills, Police station",126,2017-12-01
1559,Dec,2017,"Buddha Purnima Project office, Tank Bund",100,2017-12-01
983,Dec,2017,"MGBS, Bus stand",99,2017-12-01
1367,Dec,2017,"Rajendranagar, NG Ranga Agricultural University",63,2017-12-01
599,Dec,2017,"Abids, Police station",119,2017-12-01
1368,Jan,2018,"Rajendranagar, NG Ranga Agricultural University",61,2018-01-01
888,Jan,2018,"Madhapur, Shilpa Kalavedika",112,2018-01-01
216,Jan,2018,"Jubilee Hills, Police station",129,2018-01-01
504,Jan,2018,"Jeedimetla, Industrial Association building",135,2018-01-01
1464,Jan,2018,"Sainikpuri, MRO office",90,2018-01-01
1080,Jan,2018,"Chikkadapally, Lepakshi Emporium",99,2018-01-01
1560,Jan,2018,"Buddha Purnima Project office, Tank Bund",88,2018-01-01
792,Jan,2018,"Langar House, Police Station",116,2018-01-01
600,Jan,2018,"Abids, Police station",126,2018-01-01
120,Jan,2018,"Uppal, Modern food Industry, IDA",141,2018-01-01
984,Jan,2018,"MGBS, Bus stand",102,2018-01-01
1176,Jan,2018,"Kukatpally, JNTU",144,2018-01-01
696,Jan,2018,"KBRN Park, DFO office",100,2018-01-01
1272,Jan,2018,"Nacharam, Police station",115,2018-01-01
408,Jan,2018,"Charminar, TSRTC bus station",145,2018-01-01
1656,Jan,2018,"Shameerpet, MRO office",63,2018-01-01
312,Jan,2018,"Paradise, HMWS &SB Pump house",130,2018-01-01
24,Jan,2018,"Balanagar, CITD office",141,2018-01-01
1561,Feb,2018,"Buddha Purnima Project office, Tank Bund",78,2018-02-01
601,Feb,2018,"Abids, Police station",122,2018-02-01
1081,Feb,2018,"Chikkadapally, Lepakshi Emporium",99,2018-02-01
121,Feb,2018,"Uppal, Modern food Industry, IDA",126,2018-02-01
1465,Feb,2018,"Sainikpuri, MRO office",85,2018-02-01
313,Feb,2018,"Paradise, HMWS &SB Pump house",125,2018-02-01
1657,Feb,2018,"Shameerpet, MRO office",75,2018-02-01
1177,Feb,2018,"Kukatpally, JNTU",131,2018-02-01
505,Feb,2018,"Jeedimetla, Industrial Association building",141,2018-02-01
25,Feb,2018,"Balanagar, CITD office",129,2018-02-01
1273,Feb,2018,"Nacharam, Police station",106,2018-02-01
985,Feb,2018,"MGBS, Bus stand",107,2018-02-01
409,Feb,2018,"Charminar, TSRTC bus station",128,2018-02-01
217,Feb,2018,"Jubilee Hills, Police station",124,2018-02-01
889,Feb,2018,"Madhapur, Shilpa Kalavedika",100,2018-02-01
793,Feb,2018,"Langar House, Police Station",128,2018-02-01
1369,Feb,2018,"Rajendranagar, NG Ranga Agricultural University",56,2018-02-01
697,Feb,2018,"KBRN Park, DFO office",90,2018-02-01
1466,Mar,2018,"Sainikpuri, MRO office",68,2018-03-01
218,Mar,2018,"Jubilee Hills, Police station",124,2018-03-01
890,Mar,2018,"Madhapur, Shilpa Kalavedika",105,2018-03-01
26,Mar,2018,"Balanagar, CITD office",127,2018-03-01
986,Mar,2018,"MGBS, Bus stand",110,2018-03-01
1082,Mar,2018,"Chikkadapally, Lepakshi Emporium",96,2018-03-01
602,Mar,2018,"Abids, Police station",112,2018-03-01
410,Mar,2018,"Charminar, TSRTC bus station",117,2018-03-01
1562,Mar,2018,"Buddha Purnima Project office, Tank Bund",86,2018-03-01
506,Mar,2018,"Jeedimetla, Industrial Association building",128,2018-03-01
794,Mar,2018,"Langar House, Police Station",113,2018-03-01
1658,Mar,2018,"Shameerpet, MRO office",66,2018-03-01
1370,Mar,2018,"Rajendranagar, NG Ranga Agricultural University",60,2018-03-01
1178,Mar,2018,"Kukatpally, JNTU",127,2018-03-01
314,Mar,2018,"Paradise, HMWS &SB Pump house",117,2018-03-01
1274,Mar,2018,"Nacharam, Police station",123,2018-03-01
698,Mar,2018,"KBRN Park, DFO office",87,2018-03-01
122,Mar,2018,"Uppal, Modern food Industry, IDA",126,2018-03-01
1179,Apr,2018,"Kukatpally, JNTU",120,2018-04-01
219,Apr,2018,"Jubilee Hills, Police station",104,2018-04-01
699,Apr,2018,"KBRN Park, DFO office",77,2018-04-01
1467,Apr,2018,"Sainikpuri, MRO office",69,2018-04-01
411,Apr,2018,"Charminar, TSRTC bus station",102,2018-04-01
987,Apr,2018,"MGBS, Bus stand",89,2018-04-01
1275,Apr,2018,"Nacharam, Police station",113,2018-04-01
123,Apr,2018,"Uppal, Modern food Industry, IDA",112,2018-04-01
315,Apr,2018,"Paradise, HMWS &SB Pump house",106,2018-04-01
1083,Apr,2018,"Chikkadapally, Lepakshi Emporium",99,2018-04-01
1659,Apr,2018,"Shameerpet, MRO office",65,2018-04-01
891,Apr,2018,"Madhapur, Shilpa Kalavedika",104,2018-04-01
795,Apr,2018,"Langar House, Police Station",90,2018-04-01
1563,Apr,2018,"Buddha Purnima Project office, Tank Bund",62,2018-04-01
603,Apr,2018,"Abids, Police station",99,2018-04-01
1371,Apr,2018,"Rajendranagar, NG Ranga Agricultural University",55,2018-04-01
27,Apr,2018,"Balanagar, CITD office",127,2018-04-01
507,Apr,2018,"Jeedimetla, Industrial Association building",126,2018-04-01
412,May,2018,"Charminar, TSRTC bus station",101,2018-05-01
892,May,2018,"Madhapur, Shilpa Kalavedika",97,2018-05-01
700,May,2018,"KBRN Park, DFO office",79,2018-05-01
508,May,2018,"Jeedimetla, Industrial Association building",126,2018-05-01
1564,May,2018,"Buddha Purnima Project office, Tank Bund",74,2018-05-01
988,May,2018,"MGBS, Bus stand",83,2018-05-01
1276,May,2018,"Nacharam, Police station",114,2018-05-01
1468,May,2018,"Sainikpuri, MRO office",74,2018-05-01
316,May,2018,"Paradise, HMWS &SB Pump house",118,2018-05-01
1372,May,2018,"Rajendranagar, NG Ranga Agricultural University",60,2018-05-01
604,May,2018,"Abids, Police station",105,2018-05-01
124,May,2018,"Uppal, Modern food Industry, IDA",107,2018-05-01
1084,May,2018,"Chikkadapally, Lepakshi Emporium",90,2018-05-01
1660,May,2018,"Shameerpet, MRO office",57,2018-05-01
28,May,2018,"Balanagar, CITD office",121,2018-05-01
796,May,2018,"Langar House, Police Station",97,2018-05-01
1180,May,2018,"Kukatpally, JNTU",111,2018-05-01
220,May,2018,"Jubilee Hills, Police station",116,2018-05-01
605,Jun,2018,"Abids, Police station",98,2018-06-01
701,Jun,2018,"KBRN Park, DFO office",53,2018-06-01
221,Jun,2018,"Jubilee Hills, Police station",109,2018-06-01
797,Jun,2018,"Langar House, Police Station",89,2018-06-01
893,Jun,2018,"Madhapur, Shilpa Kalavedika",72,2018-06-01
1661,Jun,2018,"Shameerpet, MRO office",55,2018-06-01
509,Jun,2018,"Jeedimetla, Industrial Association building",97,2018-06-01
1181,Jun,2018,"Kukatpally, JNTU",100,2018-06-01
1469,Jun,2018,"Sainikpuri, MRO office",74,2018-06-01
125,Jun,2018,"Uppal, Modern food Industry, IDA",87,2018-06-01
989,Jun,2018,"MGBS, Bus stand",73,2018-06-01
317,Jun,2018,"Paradise, HMWS &SB Pump house",104,2018-06-01
1565,Jun,2018,"Buddha Purnima Project office, Tank Bund",67,2018-06-01
1277,Jun,2018,"Nacharam, Police station",107,2018-06-01
1373,Jun,2018,"Rajendranagar, NG Ranga Agricultural University",48,2018-06-01
413,Jun,2018,"Charminar, TSRTC bus station",97,2018-06-01
29,Jun,2018,"Balanagar, CITD office",107,2018-06-01
1085,Jun,2018,"Chikkadapally, Lepakshi Emporium",81,2018-06-01
30,Jul,2018,"Balanagar, CITD office",90,2018-07-01
1566,Jul,2018,"Buddha Purnima Project office, Tank Bund",53,2018-07-01
1278,Jul,2018,"Nacharam, Police station",88,2018-07-01
1662,Jul,2018,"Shameerpet, MRO office",69,2018-07-01
1086,Jul,2018,"Chikkadapally, Lepakshi Emporium",76,2018-07-01
1182,Jul,2018,"Kukatpally, JNTU",83,2018-07-01
1374,Jul,2018,"Rajendranagar, NG Ranga Agricultural University",46,2018-07-01
414,Jul,2018,"Charminar, TSRTC bus station",83,2018-07-01
702,Jul,2018,"KBRN Park, DFO office",53,2018-07-01
606,Jul,2018,"Abids, Police station",90,2018-07-01
126,Jul,2018,"Uppal, Modern food Industry, IDA",85,2018-07-01
798,Jul,2018,"Langar House, Police Station",75,2018-07-01
318,Jul,2018,"Paradise, HMWS &SB Pump house",83,2018-07-01
990,Jul,2018,"MGBS, Bus stand",75,2018-07-01
894,Jul,2018,"Madhapur, Shilpa Kalavedika",71,2018-07-01
510,Jul,2018,"Jeedimetla, Industrial Association building",83,2018-07-01
222,Jul,2018,"Jubilee Hills, Police station",100,2018-07-01
1470,Jul,2018,"Sainikpuri, MRO office",67,2018-07-01
895,Aug,2018,"Madhapur, Shilpa Kalavedika",68,2018-08-01
319,Aug,2018,"Paradise, HMWS &SB Pump house",93,2018-08-01
1279,Aug,2018,"Nacharam, Police station",84,2018-08-01
511,Aug,2018,"Jeedimetla, Industrial Association building",105,2018-08-01
1375,Aug,2018,"Rajendranagar, NG Ranga Agricultural University",64,2018-08-01
1183,Aug,2018,"Kukatpally, JNTU",78,2018-08-01
1471,Aug,2018,"Sainikpuri, MRO office",71,2018-08-01
703,Aug,2018,"KBRN Park, DFO office",51,2018-08-01
1663,Aug,2018,"Shameerpet, MRO office",68,2018-08-01
1567,Aug,2018,"Buddha Purnima Project office, Tank Bund",60,2018-08-01
127,Aug,2018,"Uppal, Modern food Industry, IDA",82,2018-08-01
31,Aug,2018,"Balanagar, CITD office",97,2018-08-01
607,Aug,2018,"Abids, Police station",91,2018-08-01
1087,Aug,2018,"Chikkadapally, Lepakshi Emporium",82,2018-08-01
223,Aug,2018,"Jubilee Hills, Police station",101,2018-08-01
799,Aug,2018,"Langar House, Police Station",84,2018-08-01
991,Aug,2018,"MGBS, Bus stand",86,2018-08-01
415,Aug,2018,"Charminar, TSRTC bus station",106,2018-08-01
1568,Sep,2018,"Buddha Purnima Project office, Tank Bund",75,2018-09-01
320,Sep,2018,"Paradise, HMWS &SB Pump house",102,2018-09-01
1280,Sep,2018,"Nacharam, Police station",90,2018-09-01
992,Sep,2018,"MGBS, Bus stand",98,2018-09-01
416,Sep,2018,"Charminar, TSRTC bus station",111,2018-09-01
32,Sep,2018,"Balanagar, CITD office",123,2018-09-01
224,Sep,2018,"Jubilee Hills, Police station",106,2018-09-01
512,Sep,2018,"Jeedimetla, Industrial Association building",125,2018-09-01
1184,Sep,2018,"Kukatpally, JNTU",97,2018-09-01
1472,Sep,2018,"Sainikpuri, MRO office",78,2018-09-01
704,Sep,2018,"KBRN Park, DFO office",62,2018-09-01
896,Sep,2018,"Madhapur, Shilpa Kalavedika",84,2018-09-01
128,Sep,2018,"Uppal, Modern food Industry, IDA",91,2018-09-01
608,Sep,2018,"Abids, Police station",85,2018-09-01
1088,Sep,2018,"Chikkadapally, Lepakshi Emporium",94,2018-09-01
800,Sep,2018,"Langar House, Police Station",103,2018-09-01
1664,Sep,2018,"Shameerpet, MRO office",70,2018-09-01
1376,Sep,2018,"Rajendranagar, NG Ranga Agricultural University",72,2018-09-01
417,Oct,2018,"Charminar, TSRTC bus station",123,2018-10-01
1377,Oct,2018,"Rajendranagar, NG Ranga Agricultural University",86,2018-10-01
609,Oct,2018,"Abids, Police station",100,2018-10-01
1473,Oct,2018,"Sainikpuri, MRO office",54,2018-10-01
993,Oct,2018,"MGBS, Bus stand",100,2018-10-01
33,Oct,2018,"Balanagar, CITD office",132,2018-10-01
1569,Oct,2018,"Buddha Purnima Project office, Tank Bund",77,2018-10-01
1281,Oct,2018,"Nacharam, Police station",101,2018-10-01
225,Oct,2018,"Jubilee Hills, Police station",106,2018-10-01
513,Oct,2018,"Jeedimetla, Industrial Association building",129,2018-10-01
1665,Oct,2018,"Shameerpet, MRO office",71,2018-10-01
1185,Oct,2018,"Kukatpally, JNTU",125,2018-10-01
705,Oct,2018,"KBRN Park, DFO office",78,2018-10-01
129,Oct,2018,"Uppal, Modern food Industry, IDA",107,2018-10-01
1089,Oct,2018,"Chikkadapally, Lepakshi Emporium",95,2018-10-01
801,Oct,2018,"Langar House, Police Station",103,2018-10-01
321,Oct,2018,"Paradise, HMWS &SB Pump house",96,2018-10-01
897,Oct,2018,"Madhapur, Shilpa Kalavedika",99,2018-10-01
994,Nov,2018,"MGBS, Bus stand",100,2018-11-01
706,Nov,2018,"KBRN Park, DFO office",86,2018-11-01
802,Nov,2018,"Langar House, Police Station",100,2018-11-01
226,Nov,2018,"Jubilee Hills, Police station",135,2018-11-01
1474,Nov,2018,"Sainikpuri, MRO office",99,2018-11-01
1090,Nov,2018,"Chikkadapally, Lepakshi Emporium",88,2018-11-01
130,Nov,2018,"Uppal, Modern food Industry, IDA",122,2018-11-01
1186,Nov,2018,"Kukatpally, JNTU",123,2018-11-01
1282,Nov,2018,"Nacharam, Police station",91,2018-11-01
34,Nov,2018,"Balanagar, CITD office",136,2018-11-01
1378,Nov,2018,"Rajendranagar, NG Ranga Agricultural University",73,2018-11-01
1666,Nov,2018,"Shameerpet, MRO office",83,2018-11-01
1570,Nov,2018,"Buddha Purnima Project office, Tank Bund",74,2018-11-01
898,Nov,2018,"Madhapur, Shilpa Kalavedika",91,2018-11-01
514,Nov,2018,"Jeedimetla, Industrial Association building",154,2018-11-01
418,Nov,2018,"Charminar, TSRTC bus station",111,2018-11-01
610,Nov,2018,"Abids, Police station",94,2018-11-01
322,Nov,2018,"Paradise, HMWS &SB Pump house",102,2018-11-01
707,Dec,2018,"KBRN Park, DFO office",93,2018-12-01
1475,Dec,2018,"Sainikpuri, MRO office",90,2018-12-01
515,Dec,2018,"Jeedimetla, Industrial Association building",136,2018-12-01
35,Dec,2018,"Balanagar, CITD office",148,2018-12-01
1091,Dec,2018,"Chikkadapally, Lepakshi Emporium",108,2018-12-01
995,Dec,2018,"MGBS, Bus stand",105,2018-12-01
803,Dec,2018,"Langar House, Police Station",98,2018-12-01
611,Dec,2018,"Abids, Police station",106,2018-12-01
1667,Dec,2018,"Shameerpet, MRO office",73,2018-12-01
323,Dec,2018,"Paradise, HMWS &SB Pump house",106,2018-12-01
419,Dec,2018,"Charminar, TSRTC bus station",129,2018-12-01
1379,Dec,2018,"Rajendranagar, NG Ranga Agricultural University",93,2018-12-01
131,Dec,2018,"Uppal, Modern food Industry, IDA",134,2018-12-01
1187,Dec,2018,"Kukatpally, JNTU",126,2018-12-01
1283,Dec,2018,"Nacharam, Police station",98,2018-12-01
899,Dec,2018,"Madhapur, Shilpa Kalavedika",105,2018-12-01
227,Dec,2018,"Jubilee Hills, Police station",123,2018-12-01
1571,Dec,2018,"Buddha Purnima Project office, Tank Bund",90,2018-12-01
1668,Jan,2019,"Shameerpet, MRO office",71,2019-01-01
132,Jan,2019,"Uppal, Modern food Industry, IDA",139,2019-01-01
612,Jan,2019,"Abids, Police station",115,2019-01-01
1092,Jan,2019,"Chikkadapally, Lepakshi Emporium",108,2019-01-01
1284,Jan,2019,"Nacharam, Police station",107,2019-01-01
708,Jan,2019,"KBRN Park, DFO office",85,2019-01-01
1476,Jan,2019,"Sainikpuri, MRO office",71,2019-01-01
324,Jan,2019,"Paradise, HMWS &SB Pump house",133,2019-01-01
1188,Jan,2019,"Kukatpally, JNTU",142,2019-01-01
804,Jan,2019,"Langar House, Police Station",103,2019-01-01
516,Jan,2019,"Jeedimetla, Industrial Association building",161,2019-01-01
420,Jan,2019,"Charminar, TSRTC bus station",137,2019-01-01
1380,Jan,2019,"Rajendranagar, NG Ranga Agricultural University",92,2019-01-01
996,Jan,2019,"MGBS, Bus stand",112,2019-01-01
36,Jan,2019,"Balanagar, CITD office",182,2019-01-01
1572,Jan,2019,"Buddha Purnima Project office, Tank Bund",99,2019-01-01
900,Jan,2019,"Madhapur, Shilpa Kalavedika",109,2019-01-01
228,Jan,2019,"Jubilee Hills, Police station",151,2019-01-01
901,Feb,2019,"Madhapur, Shilpa Kalavedika",97,2019-02-01
325,Feb,2019,"Paradise, HMWS &SB Pump house",137,2019-02-01
1381,Feb,2019,"Rajendranagar, NG Ranga Agricultural University",95,2019-02-01
1285,Feb,2019,"Nacharam, Police station",92,2019-02-01
709,Feb,2019,"KBRN Park, DFO office",70,2019-02-01
133,Feb,2019,"Uppal, Modern food Industry, IDA",124,2019-02-01
421,Feb,2019,"Charminar, TSRTC bus station",136,2019-02-01
1669,Feb,2019,"Shameerpet, MRO office",58,2019-02-01
1189,Feb,2019,"Kukatpally, JNTU",126,2019-02-01
1573,Feb,2019,"Buddha Purnima Project office, Tank Bund",82,2019-02-01
1477,Feb,2019,"Sainikpuri, MRO office",75,2019-02-01
517,Feb,2019,"Jeedimetla, Industrial Association building",162,2019-02-01
805,Feb,2019,"Langar House, Police Station",94,2019-02-01
613,Feb,2019,"Abids, Police station",98,2019-02-01
1093,Feb,2019,"Chikkadapally, Lepakshi Emporium",85,2019-02-01
37,Feb,2019,"Balanagar, CITD office",175,2019-02-01
997,Feb,2019,"MGBS, Bus stand",96,2019-02-01
229,Feb,2019,"Jubilee Hills, Police station",147,2019-02-01
230,Mar,2019,"Jubilee Hills, Police station",125,2019-03-01
1478,Mar,2019,"Sainikpuri, MRO office",66,2019-03-01
710,Mar,2019,"KBRN Park, DFO office",64,2019-03-01
1286,Mar,2019,"Nacharam, Police station",89,2019-03-01
1190,Mar,2019,"Kukatpally, JNTU",113,2019-03-01
518,Mar,2019,"Jeedimetla, Industrial Association building",153,2019-03-01
1094,Mar,2019,"Chikkadapally, Lepakshi Emporium",79,2019-03-01
134,Mar,2019,"Uppal, Modern food Industry, IDA",126,2019-03-01
806,Mar,2019,"Langar House, Police Station",100,2019-03-01
998,Mar,2019,"MGBS, Bus stand",108,2019-03-01
902,Mar,2019,"Madhapur, Shilpa Kalavedika",106,2019-03-01
1670,Mar,2019,"Shameerpet, MRO office",52,2019-03-01
1574,Mar,2019,"Buddha Purnima Project office, Tank Bund",75,2019-03-01
614,Mar,2019,"Abids, Police station",105,2019-03-01
1382,Mar,2019,"Rajendranagar, NG Ranga Agricultural University",79,2019-03-01
422,Mar,2019,"Charminar, TSRTC bus station",110,2019-03-01
326,Mar,2019,"Paradise, HMWS &SB Pump house",108,2019-03-01
38,Mar,2019,"Balanagar, CITD office",157,2019-03-01
1479,Apr,2019,"Sainikpuri, MRO office",69,2019-04-01
615,Apr,2019,"Abids, Police station",95,2019-04-01
231,Apr,2019,"Jubilee Hills, Police station",105,2019-04-01
39,Apr,2019,"Balanagar, CITD office",149,2019-04-01
1191,Apr,2019,"Kukatpally, JNTU",91,2019-04-01
1095,Apr,2019,"Chikkadapally, Lepakshi Emporium",77,2019-04-01
999,Apr,2019,"MGBS, Bus stand",83,2019-04-01
1575,Apr,2019,"Buddha Purnima Project office, Tank Bund",72,2019-04-01
711,Apr,2019,"KBRN Park, DFO office",58,2019-04-01
807,Apr,2019,"Langar House, Police Station",87,2019-04-01
423,Apr,2019,"Charminar, TSRTC bus station",100,2019-04-01
519,Apr,2019,"Jeedimetla, Industrial Association building",121,2019-04-01
327,Apr,2019,"Paradise, HMWS &SB Pump house",113,2019-04-01
135,Apr,2019,"Uppal, Modern food Industry, IDA",92,2019-04-01
903,Apr,2019,"Madhapur, Shilpa Kalavedika",92,2019-04-01
1383,Apr,2019,"Rajendranagar, NG Ranga Agricultural University",56,2019-04-01
1671,Apr,2019,"Shameerpet, MRO office",78,2019-04-01
1287,Apr,2019,"Nacharam, Police station",80,2019-04-01
1096,May,2019,"Chikkadapally, Lepakshi Emporium",93,2019-05-01
328,May,2019,"Paradise, HMWS &SB Pump house",114,2019-05-01
616,May,2019,"Abids, Police station",108,2019-05-01
1576,May,2019,"Buddha Purnima Project office, Tank Bund",67,2019-05-01
1480,May,2019,"Sainikpuri, MRO office",84,2019-05-01
232,May,2019,"Jubilee Hills, Police station",104,2019-05-01
1000,May,2019,"MGBS, Bus stand",105,2019-05-01
808,May,2019,"Langar House, Police Station",102,2019-05-01
424,May,2019,"Charminar, TSRTC bus station",109,2019-05-01
520,May,2019,"Jeedimetla, Industrial Association building",120,2019-05-01
904,May,2019,"Madhapur, Shilpa Kalavedika",104,2019-05-01
1384,May,2019,"Rajendranagar, NG Ranga Agricultural University",53,2019-05-01
1672,May,2019,"Shameerpet, MRO office",83,2019-05-01
136,May,2019,"Uppal, Modern food Industry, IDA",108,2019-05-01
1192,May,2019,"Kukatpally, JNTU",101,2019-05-01
40,May,2019,"Balanagar, CITD office",139,2019-05-01
712,May,2019,"KBRN Park, DFO office",70,2019-05-01
1288,May,2019,"Nacharam, Police station",96,2019-05-01
617,Jun,2019,"Abids, Police station",100,2019-06-01
137,Jun,2019,"Uppal, Modern food Industry, IDA",84,2019-06-01
1289,Jun,2019,"Nacharam, Police station",64,2019-06-01
1481,Jun,2019,"Sainikpuri, MRO office",85,2019-06-01
233,Jun,2019,"Jubilee Hills, Police station",92,2019-06-01
713,Jun,2019,"KBRN Park, DFO office",43,2019-06-01
1193,Jun,2019,"Kukatpally, JNTU",77,2019-06-01
809,Jun,2019,"Langar House, Police Station",83,2019-06-01
425,Jun,2019,"Charminar, TSRTC bus station",83,2019-06-01
521,Jun,2019,"Jeedimetla, Industrial Association building",105,2019-06-01
905,Jun,2019,"Madhapur, Shilpa Kalavedika",77,2019-06-01
1385,Jun,2019,"Rajendranagar, NG Ranga Agricultural University",49,2019-06-01
1673,Jun,2019,"Shameerpet, MRO office",74,2019-06-01
1577,Jun,2019,"Buddha Purnima Project office, Tank Bund",63,2019-06-01
41,Jun,2019,"Balanagar, CITD office",118,2019-06-01
1097,Jun,2019,"Chikkadapally, Lepakshi Emporium",79,2019-06-01
1001,Jun,2019,"MGBS, Bus stand",94,2019-06-01
329,Jun,2019,"Paradise, HMWS &SB Pump house",101,2019-06-01
1098,Jul,2019,"Chikkadapally, Lepakshi Emporium",75,2019-07-01
810,Jul,2019,"Langar House, Police Station",88,2019-07-01
330,Jul,2019,"Paradise, HMWS &SB Pump house",91,2019-07-01
618,Jul,2019,"Abids, Police station",88,2019-07-01
234,Jul,2019,"Jubilee Hills, Police station",83,2019-07-01
1290,Jul,2019,"Nacharam, Police station",70,2019-07-01
522,Jul,2019,"Jeedimetla, Industrial Association building",91,2019-07-01
1482,Jul,2019,"Sainikpuri, MRO office",83,2019-07-01
138,Jul,2019,"Uppal, Modern food Industry, IDA",83,2019-07-01
906,Jul,2019,"Madhapur, Shilpa Kalavedika",75,2019-07-01
1194,Jul,2019,"Kukatpally, JNTU",74,2019-07-01
1578,Jul,2019,"Buddha Purnima Project office, Tank Bund",63,2019-07-01
1386,Jul,2019,"Rajendranagar, NG Ranga Agricultural University",35,2019-07-01
42,Jul,2019,"Balanagar, CITD office",88,2019-07-01
1002,Jul,2019,"MGBS, Bus stand",79,2019-07-01
1674,Jul,2019,"Shameerpet, MRO office",69,2019-07-01
714,Jul,2019,"KBRN Park, DFO office",38,2019-07-01
426,Jul,2019,"Charminar, TSRTC bus station",75,2019-07-01
1099,Aug,2019,"Chikkadapally, Lepakshi Emporium",68,2019-08-01
1003,Aug,2019,"MGBS, Bus stand",64,2019-08-01
1387,Aug,2019,"Rajendranagar, NG Ranga Agricultural University",39,2019-08-01
811,Aug,2019,"Langar House, Police Station",85,2019-08-01
1291,Aug,2019,"Nacharam, Police station",67,2019-08-01
523,Aug,2019,"Jeedimetla, Industrial Association building",83,2019-08-01
1483,Aug,2019,"Sainikpuri, MRO office",56,2019-08-01
907,Aug,2019,"Madhapur, Shilpa Kalavedika",55,2019-08-01
1579,Aug,2019,"Buddha Purnima Project office, Tank Bund",64,2019-08-01
1675,Aug,2019,"Shameerpet, MRO office",65,2019-08-01
1195,Aug,2019,"Kukatpally, JNTU",66,2019-08-01
331,Aug,2019,"Paradise, HMWS &SB Pump house",71,2019-08-01
715,Aug,2019,"KBRN Park, DFO office",41,2019-08-01
427,Aug,2019,"Charminar, TSRTC bus station",66,2019-08-01
43,Aug,2019,"Balanagar, CITD office",85,2019-08-01
235,Aug,2019,"Jubilee Hills, Police station",71,2019-08-01
139,Aug,2019,"Uppal, Modern food Industry, IDA",77,2019-08-01
619,Aug,2019,"Abids, Police station",74,2019-08-01
140,Sep,2019,"Uppal, Modern food Industry, IDA",78,2019-09-01
812,Sep,2019,"Langar House, Police Station",98,2019-09-01
332,Sep,2019,"Paradise, HMWS &SB Pump house",81,2019-09-01
1292,Sep,2019,"Nacharam, Police station",73,2019-09-01
524,Sep,2019,"Jeedimetla, Industrial Association building",87,2019-09-01
908,Sep,2019,"Madhapur, Shilpa Kalavedika",76,2019-09-01
1580,Sep,2019,"Buddha Purnima Project office, Tank Bund",59,2019-09-01
44,Sep,2019,"Balanagar, CITD office",85,2019-09-01
1676,Sep,2019,"Shameerpet, MRO office",54,2019-09-01
1196,Sep,2019,"Kukatpally, JNTU",73,2019-09-01
1100,Sep,2019,"Chikkadapally, Lepakshi Emporium",72,2019-09-01
1484,Sep,2019,"Sainikpuri, MRO office",69,2019-09-01
620,Sep,2019,"Abids, Police station",88,2019-09-01
1388,Sep,2019,"Rajendranagar, NG Ranga Agricultural University",39,2019-09-01
716,Sep,2019,"KBRN Park, DFO office",42,2019-09-01
428,Sep,2019,"Charminar, TSRTC bus station",72,2019-09-01
236,Sep,2019,"Jubilee Hills, Police station",79,2019-09-01
1004,Sep,2019,"MGBS, Bus stand",67,2019-09-01
717,Oct,2019,"KBRN Park, DFO office",39,2019-10-01
333,Oct,2019,"Paradise, HMWS &SB Pump house",105,2019-10-01
1485,Oct,2019,"Sainikpuri, MRO office",61,2019-10-01
1581,Oct,2019,"Buddha Purnima Project office, Tank Bund",61,2019-10-01
525,Oct,2019,"Jeedimetla, Industrial Association building",103,2019-10-01
1005,Oct,2019,"MGBS, Bus stand",73,2019-10-01
141,Oct,2019,"Uppal, Modern food Industry, IDA",102,2019-10-01
909,Oct,2019,"Madhapur, Shilpa Kalavedika",91,2019-10-01
1293,Oct,2019,"Nacharam, Police station",87,2019-10-01
1197,Oct,2019,"Kukatpally, JNTU",88,2019-10-01
1677,Oct,2019,"Shameerpet, MRO office",46,2019-10-01
1101,Oct,2019,"Chikkadapally, Lepakshi Emporium",69,2019-10-01
813,Oct,2019,"Langar House, Police Station",109,2019-10-01
45,Oct,2019,"Balanagar, CITD office",110,2019-10-01
429,Oct,2019,"Charminar, TSRTC bus station",95,2019-10-01
621,Oct,2019,"Abids, Police station",80,2019-10-01
1389,Oct,2019,"Rajendranagar, NG Ranga Agricultural University",45,2019-10-01
237,Oct,2019,"Jubilee Hills, Police station",99,2019-10-01
1678,Nov,2019,"Shameerpet, MRO office",65,2019-11-01
1006,Nov,2019,"MGBS, Bus stand",105,2019-11-01
334,Nov,2019,"Paradise, HMWS &SB Pump house",102,2019-11-01
1102,Nov,2019,"Chikkadapally, Lepakshi Emporium",99,2019-11-01
1582,Nov,2019,"Buddha Purnima Project office, Tank Bund",82,2019-11-01
1294,Nov,2019,"Nacharam, Police station",110,2019-11-01
