Month,"Balanagar, CITD office","Uppal, Modern food Industry, IDA","Jubilee Hills, Police station","Paradise, HMWS &SB Pump house","Charminar, TSRTC bus station","Jeedimetla, Industrial Association building","Abids, Police station","KBRN Park, DFO office","Langar House, Police Station","Madhapur, Shilpa Kalavedika","MGBS, Bus stand","Chikkadapally, Lepakshi Emporium","Kukatpally, JNTU","Nacharam, Police station","Rajendranagar, NG Ranga Agricultural University","Sainikpuri, MRO office","Buddha Purnima Project office, Tank Bund","Shameerpet, MRO office"
Jan,141,141,129,130,145,135,126,100,116,112,102,99,144,115,61,90,88,63
Feb,129,126,124,125,128,141,122,90,128,100,107,99,131,106,56,85,78,75
Mar,127,126,124,117,117,128,112,87,113,105,110,96,127,123,60,68,86,66
Apr,127,112,104,106,102,126,99,77,90,104,89,99,120,113,55,69,62,65
May,121,107,116,118,101,126,105,79,97,97,83,90,111,114,60,74,74,57
Jun,107,87,109,104,97,97,98,53,89,72,73,81,100,107,48,74,67,55
Jul,90,85,100,83,83,83,90,53,75,71,75,76,83,88,46,67,53,69
Aug,97,82,101,93,106,105,91,51,84,68,86,82,78,84,64,71,60,68
Sep,123,91,106,102,111,125,85,62,103,84,98,94,97,90,72,78,75,70
Oct,132,107,106,96,123,129,100,78,103,99,100,95,125,101,86,54,77,71
Nov,136,122,135,102,111,154,94,86,100,91,100,88,123,91,73,99,74,83
Dec,148,134,123,106,129,136,106,93,98,105,105,108,126,98,93,90,90,73
