Month,"Balanagar, CITD office","Uppal, Modern food Industry, IDA","Jubilee Hills, Police station","Paradise, HMWS &SB Pump house","Charminar, TSRTC bus station","Jeedimetla, Industrial Association building","Abids, Police station","KBRN Park, DFO office","Langar House, Police Station","Madhapur, Shilpa Kalavedika","MGBS, Bus stand","Chikkadapally, Lepakshi Emporium","Kukatpally, JNTU","Nacharam, Police station","Rajendranagar, NG Ranga Agricultural University","Sainikpuri, MRO office","Buddha Purnima Project office, Tank Bund","Shameerpet, MRO office"
Jan,139,118,98,110,110,128,103,76,100,112,114,98,110,108,80,75,92,85
Feb,141,111,101,99,144,129,97,73,101,108,100,99,107,101,81,76,82,83
Mar,137,97,97,107,136,116,114,106,96,106,91,91,100,100,73,67,82,68
Apr,111,85,86,105,110,118,99,100,84,116,103,94,86,89,72,68,76,79
May,116,91,91,102,110,110,96,90,81,103,91,88,82,83,56,74,69,95
Jun,103,79,79,92,90,90,85,73,74,78,78,80,58,68,46,60,62,62
Jul,81,64,64,77,63,63,50,52,54,50,60,47,46,30,38,49,33,54
Aug,53,54,54,62,81,86,63,35,51,59,59,58,53,44,30,51,52,70
Sep,89,58,57,68,76,76,66,65,61,65,65,59,69,58,61,45,58,76
Oct,81,69,69,93,77,77,64,48,58,54,64,57,73,56,50,47,51,83
Nov,104,91,81,93,104,104,89,78,80,84,77,76,103,88,85,78,87,85
Dec,113,96,95,114,113,113,100,86,85,93,93,96,108,92,77,71,86,88
