Month,"Balanagar, CITD office","Uppal, Modern food Industry, IDA","Jubilee Hills, Police station","Paradise, HMWS &SB Pump house","Charminar, TSRTC bus station","Jeedimetla, Industrial Association building","Abids, Police station","KBRN Park, DFO office","Langar House, Police Station","Madhapur, Shilpa Kalavedika","MGBS, Bus stand","Chikkadapally, Lepakshi Emporium","Kukatpally, JNTU","Nacharam, Police station","Rajendranagar, NG Ranga Agricultural University","Sainikpuri, MRO office","Buddha Purnima Project office, Tank Bund","Shameerpet, MRO office"
Jan,163,112,106,126,123,151,123,80,113,94,79,87,96,117,85,63,77,82
Feb,176,102,123,130,119,123,112,66,116,88,80,81,82,124,87,75,76,64
Mar,116,94,106,123,105,122,111,78,107,88,95,88,78,120,85,67,70,83
Apr,123,92,108,127,110,114,115,64,86,82,93,74,83,117,71,71,52,78
May,108,86,101,119,98,107,90,45,70,68,71,66,79,106,78,65,66,62
Jun,102,91,93,113,98,92,77,42,69,58,66,74,79,100,79,64,53,77
Jul,93,73,76,92,83,75,84,36,65,55,68,65,67,94,66,71,42,65
Aug,104,67,78,102,84,76,76,39,64,49,54,76,65,67,72,60,47,75
Sep,85,66,65,90,71,73,68,30,54,42,47,61,63,59,62,57,39,71
Oct,110,104,104,112,101,112,98,54,73,65,73,87,91,100,88,66,57,74
Nov,162,127,118,133,145,159,123,85,79,98,81,96,125,119,80,75,79,82
Dec,155,144,165,160,170,155,126,109,110,102,88,105,126,126,110,110,103,60
