Month,"Balanagar, CITD office","Uppal, Modern food Industry, IDA","Jubilee Hills, Police station","Paradise, HMWS &SB Pump house","Charminar, TSRTC bus station","Jeedimetla, Industrial Association building","Abids, Police station","KBRN Park, DFO office","Langar House, Police Station","Madhapur, Shilpa Kalavedika","MGBS, Bus stand","Chikkadapally, Lepakshi Emporium","Kukatpally, JNTU","Nacharam, Police station","Rajendranagar, NG Ranga Agricultural University","Sainikpuri, MRO office","Buddha Purnima Project office, Tank Bund","Shameerpet, MRO office"
Jan,182,139,151,133,137,161,115,85,103,109,112,108,142,107,92,71,99,71
Feb,175,124,147,137,136,162,98,70,94,97,96,85,126,92,95,75,82,58
Mar,157,126,125,108,110,153,105,64,100,106,108,79,113,89,79,66,75,52
Apr,149,92,105,113,100,121,95,58,87,92,83,77,91,80,56,69,72,78
May,139,108,104,114,109,120,108,70,102,104,105,93,101,96,53,84,67,83
Jun,118,84,92,101,83,105,100,43,83,77,94,79,77,64,49,85,63,74
Jul,88,83,83,91,75,91,88,38,88,75,79,75,74,70,35,83,63,69
Aug,85,77,71,71,66,83,74,41,85,55,64,68,66,67,39,56,64,65
Sep,85,78,79,81,72,87,88,42,98,76,67,72,73,73,39,69,59,54
Oct,110,102,99,105,95,103,80,39,109,91,73,69,88,87,45,61,61,46
Nov,143,142,112,102,108,123,103,66,106,106,105,99,121,110,61,54,82,65
Dec,150,144,132,124,131,146,98,69,117,103,106,86,141,107,69,59,88,74
