Month,"Balanagar, CITD office","Uppal, Modern food Industry, IDA","Jubilee Hills, Police station","Paradise, HMWS &SB Pump house","Charminar, TSRTC bus station","Jeedimetla, Industrial Association building","Abids, Police station","KBRN Park, DFO office","Langar House, Police Station","Madhapur, Shilpa Kalavedika","MGBS, Bus stand","Chikkadapally, Lepakshi Emporium","Kukatpally, JNTU","Nacharam, Police station","Rajendranagar, NG Ranga Agricultural University","Sainikpuri, MRO office","Buddha Purnima Project office, Tank Bund","Shameerpet, MRO office"
Jan,162,138,120,126,124,148,100,81,114,123,121,102,113,116,82,95,91,68
Feb,169,134,107,115,127,147,106,64,115,114,96,95,109,108,71,76,90,83
Mar,166,136,120,116,126,148,106,66,103,111,100,93,100,107,80,76,82,68
Apr,166,128,105,100,110,121,77,57,85,97,87,93,92,87,66,75,66,79
May,112,64,58,64,59,74,50,35,55,60,52,50,50,53,43,37,41,95
Jun,93,69,72,61,66,69,47,38,59,55,64,63,53,51,42,39,48,62
Jul,81,75,72,74,68,68,47,32,54,48,54,50,53,44,29,36,42,54
Aug,81,70,84,66,64,72,45,27,48,47,51,50,55,49,32,36,43,70
Sep,69,55,53,69,77,58,46,26,55,42,49,49,51,42,32,33,42,76
Oct,103,94,81,84,106,100,54,42,60,67,76,59,85,66,41,45,55,83
Nov,111,91,91,90,88,114,76,53,77,89,86,70,102,85,62,67,70,85
Dec,134,116,95,113,111,128,106,79,110,108,112,99,98,109,87,97,93,84
